date,host,precision,variant,num_cols,num_threads,nproma,num_runs,runtime_mean,runtime_stddev,mflops_mean,mflops_stddev
20240107,daint,double,nl,65536,12,32,50,163.94,0.8429781995389669,15918.3,73.37358975455261
20240107,daint,double,tl,65536,12,32,50,1922.82,6.093455840623831,1361.1,4.305904820886154
20240107,daint,double,ad,65536,12,32,50,1040.18,9.541937509152499,2516.16,22.872637605234967
20240107,daint,single_,nl,65536,12,32,50,98.2,1.2453996981544784,26535.44,335.3863541210528
20240107,daint,single_,tl,65536,12,32,50,1085.64,3.707466267203116,2410.7,8.149746459058639
20240107,daint,single_,ad,65536,12,32,50,571.6,3.1428571428571415,4577.24,24.18682387126495
