date,host,precision,variant,num_cols,num_threads,nproma,num_runs,runtime_mean,runtime_stddev,mflops_mean,mflops_stddev
20240102,lumi,double,fortran,65536,56,32,50,70.74,1.3969354213522436,114870.54,2097.018789732175
20240102,lumi,double,gpu-scc-k-caching,65536,1,256,50,95.72,0.45355736761107246,85144.42,100.60289483399367
20240102,lumi,double,loki-scc-hoist,65536,1,256,50,142.08,0.7515969393123378,57375.58,306.09549596990354
20240102,lumi,single,fortran,65536,56,32,50,43.9,0.7354021529276432,184199.8,2696.8003792854756
20240102,lumi,single,gpu-scc-k-caching,65536,1,256,50,25.0,0.0,322583.16,1395.9270544066726
20240102,lumi,single,loki-scc-hoist,65536,1,256,50,113.84,0.7655863432556717,71522.46,443.6123611203541
20240103,lumi,double,fortran,65536,7,32,50,324.8,1.737932151513776,25143.56,132.36732440987302
20240103,lumi,single,fortran,65536,7,32,50,221.24,6.281037220987359,36917.98,975.936483588968
