date,host,precision,variant,num_cols,num_threads,nproma,num_runs,runtime_mean,runtime_stddev,mflops_mean,mflops_stddev
20240103,lumi,double,nl-gt:cpu_kfirst,65536,56,1,50,79.88585166633129,0.704642709456149,102408.9190758991,875.7425848607029
20240103,lumi,double,nl-gt:cpu_kfirst,65536,7,1,50,288.53361954912543,1.0073212750016458,28352.035152975586,97.44435864531444
20240103,lumi,single,nl-gt:cpu_kfirst,65536,7,1,50,239.81153586879373,0.9409724737191711,34112.37252145062,131.55933627238508
20240103,lumi,single,nl-gt:cpu_kfirst,65536,56,1,50,37.934115678071976,0.5600262923679191,215693.27204969406,3123.7848548107036
20240103,lumi,single,ad-gt:cpu_kfirst,65536,56,1,50,237.96930506825447,1.2605192959345355,0,0
20240103,lumi,single,ad-gt:cpu_kfirst,65536,7,1,50,1325.7289380207658,3.5567139969677446,0,0
20240103,lumi,double,ad-gt:cpu_kfirst,65536,7,1,50,1532.7486675791442,4.3999462611762645,0,0
20240103,lumi,double,ad-gt:cpu_kfirst,65536,56,1,50,353.4572790376842,1.0303655371726914,0,0
20240103,lumi,double,ad-dace:gpu,65536,1,1,50,89.50333185493946,0.3303867885865388,0,0
20240103,lumi,single,ad-dace:gpu,65536,1,1,50,48.84501926600933,0.17086038006322118,0,0
20240103,lumi,single,nl-dace:gpu,65536,1,1,50,3.7128187902271748,0.011735543746312848,2203312.1796937864,6932.452700945418
20240103,lumi,double,nl-dace:gpu,65536,1,1,50,5.8848752826452255,0.03455368562349759,1390121.9880689108,8132.961840906927
