date,host,precision,variant,num_cols,num_threads,nproma,num_runs,runtime_mean,runtime_stddev,mflops_mean,mflops_stddev
20240103,mlux,double,nl-gt:cpu_kfirst,65536,64,1,50,101.39933481812477,6.438115244789319,80975.68914144667,4832.745924911148
20240103,mlux,double,nl-gt:cpu_kfirst,65536,16,1,50,153.5403893329203,0.9078490147359298,53280.41623423813,311.04957897047643
20240103,mlux,single,nl-gt:cpu_kfirst,65536,16,1,50,108.57265582773834,0.616509748443946,75347.44788436436,419.4431573057193
20240103,mlux,single,nl-gt:cpu_kfirst,65536,64,1,50,51.48538511712104,2.3127768228953984,159187.8487992369,6812.319455548618
20240103,mlux,single,ad-gt:cpu_kfirst,65536,64,1,50,285.47838755417615,6.185585324626229,0,0
20240103,mlux,single,ad-gt:cpu_kfirst,65536,16,1,50,740.3519414830953,6.22920261626308,0,0
20240103,mlux,double,ad-gt:cpu_kfirst,65536,16,1,50,1060.1140972878784,13.232352362986635,0,0
20240103,mlux,double,ad-gt:cpu_kfirst,65536,64,1,50,706.1544014327228,11.424508074527832,0,0
20240103,mlux,double,ad-dace:gpu,65536,1,1,50,40.9944177698344,1.6010708384757968,0,0
20240103,mlux,single,ad-dace:gpu,65536,1,1,50,23.535319222137332,1.1594569797867904,0,0
20240103,mlux,single,nl-dace:gpu,65536,1,1,50,3.2746591279283166,0.03319977348643953,2498343.083376878,24679.218863700113
20240103,mlux,double,nl-dace:gpu,65536,1,1,50,5.76863425783813,0.5215991849561533,1429876.370915366,133065.3762960791
