date,host,precision,backend,num_cols,num_runs,cloudsc
20230725,mlux,single,gt:cpu_kfirst,65536,50,620.658475253731
20230725,mlux,double,gt:cpu_kfirst,65536,50,770.5025739967823
20230725,mlux,double,dace:gpu,65536,50,54.799936935305595
20230725,mlux,single,dace:gpu,65536,50,30.841266606003046
