date,host,precision,variant,num_cols,num_threads,nproma,num_runs,runtime_mean,runtime_stddev,mflops_mean,mflops_stddev
20240102,mlux,double,fortran,65536,64,32,50,84.08,6.660391604592827,97230.62,6700.235484408783
20240102,mlux,double,c-cuda-k-caching,65536,1,128,50,15.32,0.9133924207511878,516701.74,33291.00683417462
20240102,mlux,double,gpu-scc-k-caching,65536,1,128,50,20.7,1.1994896874104768,387463.78,20311.83452690996
20240102,mlux,double,loki-scc-cuf-hoist,65536,1,128,50,29.08,1.103611880904455,277173.88,9269.349235551126
20240102,mlux,single,fortran,65536,64,32,50,60.1,4.505099151777564,135417.02,8982.54713544038
20240102,mlux,single,gpu-scc-k-caching,65536,1,128,50,8.74,0.7507819053411948,879356.76,60148.05793684344
20240102,mlux,single,loki-scc-cuf-hoist,65536,1,128,50,16.94,0.2398979374820953,465746.82,6646.364087167032
20240102,mlux,double,fortran,65536,16,32,50,266.16,7.4020405349898395,30691.64,759.8353409167819
20240102,mlux,single,fortran,65536,16,32,50,205.14,5.268349855892417,39801.4,970.9802536927435
